职位编码,职位名称,工作地址,薪资范围,公司全称,所属行业,人员规模,企业性质,职位描述,公司简介
J001,Python开发工程师,北京,15-25K,某科技有限公司,计算机软件,500-2000人,民营,负责后端服务开发，要求熟悉Python、Django/Flask、MySQL、Redis；有良好的编码习惯和文档意识；具备学习能力和团队协作能力。,互联网科技公司
J002,Java开发工程师,上海,18-30K,某信息技术公司,计算机软件,1000-5000人,股份制,负责Java后端开发，熟悉Spring Boot、微服务、MySQL；有实习或项目经验优先；沟通能力、抗压能力良好。,软件与信息技术
J003,前端开发工程师,杭州,14-22K,某网络公司,互联网,500-2000人,民营,负责Web前端开发，熟练掌握HTML/CSS/JavaScript、Vue或React；有移动端适配经验；具备创新与学习能力。,互联网
J004,数据分析师,深圳,12-20K,某数据公司,大数据,200-500人,民营,负责业务数据分析与报表，熟练SQL、Python、Excel；有统计学基础；沟通表达清晰，能承受工作压力。,数据服务
J005,测试工程师,北京,10-18K,某软件公司,计算机软件,500-2000人,外资,负责功能与自动化测试，了解测试理论、用例设计；会使用Selenium或接口测试工具；细心、责任心强。,软件开发
J006,UI设计师,广州,12-20K,某设计公司,互联网,100-500人,民营,负责产品UI与视觉设计，熟练Figma/Sketch、PS/AI；有作品集；具备审美与沟通能力、团队协作。,设计服务
J007,算法工程师,北京,25-45K,某AI公司,人工智能,500-2000人,民营,负责机器学习/深度学习模型研发，熟悉Python、TensorFlow/PyTorch、数据结构与算法；有论文或竞赛经历优先；学习与创新能力强。,人工智能
J008,产品经理助理,上海,10-16K,某互联网公司,互联网,1000-5000人,股份制,协助产品需求与文档，会Axure/墨刀；逻辑清晰、沟通能力强；有实习或项目经历优先。,互联网
J009,运维工程师,杭州,12-20K,某云服务公司,云计算,200-500人,民营,负责服务器与网络运维，熟悉Linux、Docker、K8s、监控与脚本；有责任心、抗压与问题解决能力。,云计算
J010,初级Python开发,南京,8-15K,某创业公司,计算机软件,50-200人,民营,参与Python后端开发，了解Python、MySQL、Git；愿意学习新技术；团队协作与沟通能力。,创业公司
J011,高级Java开发工程师,北京,25-40K,某科技集团,计算机软件,5000人以上,上市公司,负责核心系统设计与开发，精通Java、Spring Cloud、分布式；带团队经验优先；技术深度与沟通能力。,科技集团
J012,资深前端工程师,上海,22-35K,某互联网大厂,互联网,10000人以上,上市公司,负责复杂前端架构与性能优化，精通Vue/React、工程化、性能优化；有带人经验；学习与创新能力。,互联网
J013,数据开发工程师,深圳,18-28K,某数据公司,大数据,500-2000人,民营,负责数据仓库与ETL开发，熟练SQL、Python、Spark/Flink；有大数据项目经验；抗压与沟通能力。,数据服务
J014,测试开发工程师,杭州,16-26K,某软件公司,计算机软件,1000-5000人,股份制,负责自动化测试与工具开发，会Python/Java、Selenium、接口测试；有开发或测试经验；问题解决能力。,软件开发
J015,视觉设计组长,北京,20-32K,某设计公司,互联网,200-500人,民营,负责设计团队与视觉规范，熟练设计工具与规范；有团队管理经验；沟通与审美能力。,设计服务
